title	url
uvm spreadsheet	https://docs.google.com/spreadsheets/d/1eSXV9r0Bma1vcexvShCyH3irGAQr17zoKyskurRUHbs/edit?gid=0#gid=0
myuvm portal	https://experience.elluciancloud.com/uvm
printcenter	https://uniprint.uvm.edu/myprintcenter/
nordic spreadsheet	https://docs.google.com/spreadsheets/d/1esXE0PJveAzgzQRuOewivU_HtJuzAM9dgGZpWs9WzQY
friendship paradox	https://en.wikipedia.org/wiki/Friendship_paradox
phronology manifesto	https://phronology.com/the-phronology-manifesto#the-seven-day-cycle
matuschak prompts	https://andymatuschak.org/prompts/
